lemma,pos,gender,possible_participle
auto,NOUN,m,
autobús,NOUN,m,
avión,NOUN,m,
barco,NOUN,m,
bote,NOUN,m,
camioneta,NOUN,f,
camión,NOUN,m,
carro,NOUN,m,
coche,NOUN,m,
conductor,NOUN,m,
gasolina,NOUN,f,
metro,NOUN,m,
motor,NOUN,m,
nave,NOUN,f,
parada,NOUN,f,
rueda,NOUN,f,
taxi,NOUN,m,
transporte,NOUN,m,
tren,NOUN,m,
tripulación,NOUN,f,
tráfico,NOUN,m,
vehículo,NOUN,m,
viaje,NOUN,m,
vuelo,NOUN,m,
abogado,NOUN,m,
agencia,NOUN,f,
agente,NOUN,common,
asistente,NOUN,common,
cargo,NOUN,m,
carrera,NOUN,f,
cliente,NOUN,common,
colega,NOUN,common,
detective,NOUN,common,
director,NOUN,m,
doctor,NOUN,m,
doctora,NOUN,f,
empleo,NOUN,m,
encargo,NOUN,m,
enfermera,NOUN,f,
entrevista,NOUN,f,
fábrica,NOUN,f,
informe,NOUN,m,
inspector,NOUN,m,
jefa,NOUN,f,
jefe,NOUN,m,
maestro,NOUN,m,
modelo,NOUN,m,
oficina,NOUN,f,
patrón,NOUN,m,
piloto,NOUN,common,
profesor,NOUN,m,
proyecto,NOUN,m,
servicio,NOUN,m,
trabajo,NOUN,m,
turno,NOUN,m,
banco,NOUN,m,
cheque,NOUN,m,
compañía,NOUN,f,
compra,NOUN,f,
contrato,NOUN,m,
crédito,NOUN,m,
cuenta,NOUN,f,
deuda,NOUN,f,
dinero,NOUN,m,
dólares,NOUN,m,
empresa,NOUN,f,
firma,NOUN,f,
fortuna,NOUN,f,
impuesto,NOUN,m,
marca,NOUN,f,
mercado,NOUN,m,
negocio,NOUN,m,
oferta,NOUN,f,
oro,NOUN,m,
pago,NOUN,m,
plata,NOUN,f,
precio,NOUN,m,
propiedad,NOUN,f,
socio,NOUN,m,
tarjeta,NOUN,f,
tesoro,NOUN,m,
tienda,NOUN,f,
venta,NOUN,f,
biblioteca,NOUN,f,
ciencia,NOUN,f,
clase,NOUN,f,
colegio,NOUN,m,
curso,NOUN,m,
educación,NOUN,f,
escuela,NOUN,f,
estudiante,NOUN,common,
estudio,NOUN,m,
examen,NOUN,m,
instituto,NOUN,m,
laboratorio,NOUN,m,
lección,NOUN,f,
libro,NOUN,m,
tarea,NOUN,f,
título,NOUN,m,
universidad,NOUN,f,
ambulancia,NOUN,f,
cadáver,NOUN,m,
cirugía,NOUN,f,
coma,NOUN,m,
cáncer,NOUN,m,
daño,NOUN,m,
dolor,NOUN,m,
enfermedad,NOUN,f,
enfermo,NOUN,m,
fiebre,NOUN,f,
funeral,NOUN,m,
herida,NOUN,f,
hospital,NOUN,m,
medicina,NOUN,f,
muerte,NOUN,f,
operación,NOUN,f,
salud,NOUN,f,
suicidio,NOUN,m,
terapia,NOUN,f,
tratamiento,NOUN,m,
tumba,NOUN,f,
veneno,NOUN,m,
virus,NOUN,m,
amenaza,NOUN,f,
arresto,NOUN,m,
asesina,NOUN,f,
asesinato,NOUN,m,
asesino,NOUN,m,
audiencia,NOUN,f,
caso,NOUN,m,
castigo,NOUN,m,
comisario,NOUN,m,
corte,NOUN,m,
crimen,NOUN,m,
cárcel,NOUN,f,
declaración,NOUN,f,
defensa,NOUN,f,
delito,NOUN,m,
droga,NOUN,f,
golpe,NOUN,m,
guardia,NOUN,m,
homicidio,NOUN,m,
huella,NOUN,f,
identificación,NOUN,f,
investigación,NOUN,f,
juez,NOUN,common,
juicio,NOUN,m,
justicia,NOUN,f,
ladrón,NOUN,m,
ley,NOUN,f,
licencia,NOUN,f,
orden,NOUN,m,
permiso,NOUN,m,
policía,NOUN,common,
prisión,NOUN,f,
prueba,NOUN,f,
rastro,NOUN,m,
registro,NOUN,m,
rescate,NOUN,m,
seguridad,NOUN,f,
sheriff,NOUN,m,
testigo,NOUN,m,
trampa,NOUN,f,
tribunal,NOUN,m,
venganza,NOUN,f,
vigilancia,NOUN,f,
violación,NOUN,f,
violencia,NOUN,f,
víctima,NOUN,f,
almirante,NOUN,m,
arma,NOUN,f,
ataque,NOUN,m,
bala,NOUN,f,
batalla,NOUN,f,
bomba,NOUN,f,
cabo,NOUN,m,
capitán,NOUN,m,
comandante,NOUN,common,
combate,NOUN,m,
coronel,NOUN,m,
disparo,NOUN,m,
ejército,NOUN,m,
enemigo,NOUN,m,
espada,NOUN,f,
explosión,NOUN,f,
guerra,NOUN,f,
lucha,NOUN,f,
marina,NOUN,f,
mina,NOUN,f,
mira,NOUN,f,
misión,NOUN,f,
pelea,NOUN,f,
pistola,NOUN,f,
sargento,NOUN,m,
soldado,NOUN,m,
teniente,NOUN,common,
tiro,NOUN,m,
tropa,NOUN,f,
unidad,NOUN,f,
victoria,NOUN,f,
alcalde,NOUN,m,
autoridad,NOUN,f,
campaña,NOUN,f,
comité,NOUN,m,
comunidad,NOUN,f,
elección,NOUN,f,
estado,NOUN,m,
gobernador,NOUN,m,
gobierno,NOUN,m,
humanidad,NOUN,f,
libertad,NOUN,f,
líder,NOUN,common,
majestad,NOUN,f,
ministro,NOUN,m,
nación,NOUN,f,
organización,NOUN,f,
presidente,NOUN,m,
princesa,NOUN,f,
príncipe,NOUN,m,
reina,NOUN,f,
reino,NOUN,m,
rey,NOUN,m,
senador,NOUN,m,
sociedad,NOUN,f,
tribu,NOUN,f,
voto,NOUN,m,
alma,NOUN,f,
cruz,NOUN,f,
cura,NOUN,m,
demonio,NOUN,m,
diablo,NOUN,m,
dios,NOUN,m,
espíritu,NOUN,m,
fantasma,NOUN,m,
fe,NOUN,f,
iglesia,NOUN,f,
infierno,NOUN,m,
judío,NOUN,m,
maldición,NOUN,f,
milagro,NOUN,m,
santo,NOUN,m,
templo,NOUN,m,
virgen,NOUN,f,
ángel,NOUN,m,
anuncio,NOUN,m,
archivo,NOUN,m,
artículo,NOUN,m,
canal,NOUN,m,
computadora,NOUN,f,
conexión,NOUN,f,
copia,NOUN,f,
cámara,NOUN,f,
dato,NOUN,m,
documento,NOUN,m,
foto,NOUN,f,
fotografía,NOUN,f,
imagen,NOUN,f,
máquina,NOUN,f,
móvil,NOUN,m,
pantalla,NOUN,f,
papel,NOUN,m,
prensa,NOUN,f,
programa,NOUN,m,
página,NOUN,f,
radio,NOUN,f,
red,NOUN,f,
revista,NOUN,f,
tecnología,NOUN,f,
televisión,NOUN,f,
teléfono,NOUN,m,
video,NOUN,m,
actor,NOUN,m,
arte,NOUN,m,
artista,NOUN,common,
baile,NOUN,m,
banda,NOUN,f,
canción,NOUN,f,
cine,NOUN,m,
club,NOUN,m,
concierto,NOUN,m,
cuento,NOUN,m,
disco,NOUN,m,
episodio,NOUN,m,
escena,NOUN,f,
escenario,NOUN,m,
espectáculo,NOUN,m,
gira,NOUN,f,
música,NOUN,f,
obra,NOUN,f,
película,NOUN,f,
personaje,NOUN,m,
piano,NOUN,m,
pintura,NOUN,f,
ritmo,NOUN,m,
serie,NOUN,f,
teatro,NOUN,m,
bola,NOUN,f,
campeón,NOUN,m,
competencia,NOUN,f,
entrenador,NOUN,m,
entrenamiento,NOUN,m,
equipo,NOUN,m,
fútbol,NOUN,m,
juego,NOUN,m,
jugador,NOUN,m,
partido,NOUN,m,
pelota,NOUN,f,
actitud,NOUN,f,
apoyo,NOUN,m,
aspecto,NOUN,m,
ayuda,NOUN,f,
belleza,NOUN,f,
cambio,NOUN,m,
causa,NOUN,f,
color,NOUN,m,
comportamiento,NOUN,m,
condición,NOUN,f,
control,NOUN,m,
descanso,NOUN,m,
destino,NOUN,m,
detalle,NOUN,m,
efecto,NOUN,m,
energía,NOUN,f,
error,NOUN,m,
esfuerzo,NOUN,m,
estilo,NOUN,m,
experiencia,NOUN,f,
forma,NOUN,f,
fuerza,NOUN,f,
gloria,NOUN,f,
gracia,NOUN,f,
habilidad,NOUN,m,
honor,NOUN,m,
identidad,NOUN,f,
importancia,NOUN,f,
inteligencia,NOUN,f,
interés,NOUN,m,
manera,NOUN,f,
maravilla,NOUN,f,
meta,NOUN,f,
modo,NOUN,m,
modos,NOUN,m,
movimiento,NOUN,m,
necesidad,NOUN,f,
objetivo,NOUN,m,
oportunidad,NOUN,f,
posibilidad,NOUN,f,
presencia,NOUN,f,
presión,NOUN,f,
principio,NOUN,m,
propósito,NOUN,m,
protección,NOUN,f,
realidad,NOUN,f,
reputación,NOUN,f,
responsabilidad,NOUN,f,
resultado,NOUN,m,
suerte,NOUN,f,
talento,NOUN,m,
valor,NOUN,m,
ventaja,NOUN,f,
vida,NOUN,f,
voluntad,NOUN,f,
éxito,NOUN,m,
accidente,NOUN,m,
acción,NOUN,f,
acto,NOUN,m,
alerta,NOUN,f,
aventura,NOUN,f,
casualidad,NOUN,f,
circunstancia,NOUN,f,
coincidencia,NOUN,f,
comienzo,NOUN,m,
crisis,NOUN,f,
cumpleaños,NOUN,m,
desafío,NOUN,m,
desastre,NOUN,m,
desgracia,NOUN,f,
emergencia,NOUN,f,
encuentro,NOUN,m,
espera,NOUN,f,
fiesta,NOUN,f,
incendio,NOUN,m,
intento,NOUN,m,
lío,NOUN,m,
misterio,NOUN,m,
navidad,NOUN,f,
ocasión,NOUN,f,
peligro,NOUN,m,
premio,NOUN,m,
regalo,NOUN,m,
regreso,NOUN,m,
reunión,NOUN,f,
riesgo,NOUN,m,
situación,NOUN,f,
vacación,NOUN,f,
visita,NOUN,f,
altura,NOUN,f,
cantidad,NOUN,f,
distancia,NOUN,f,
edad,NOUN,f,
grado,NOUN,m,
kilómetro,NOUN,m,
libra,NOUN,f,
mayoría,NOUN,f,
medida,NOUN,f,
milla,NOUN,f,
millón,NOUN,m,
mitad,NOUN,f,
nivel,NOUN,m,
número,NOUN,m,
par,NOUN,m,
parte,NOUN,f,
pedazo,NOUN,m,
pedazos,NOUN,m,
peso,NOUN,m,
resto,NOUN,m,
tamaño,NOUN,m,
velocidad,NOUN,f,
acceso,NOUN,m,
agujero,NOUN,m,
asunto,NOUN,m,
base,NOUN,f,
bruja,NOUN,f,
busca,NOUN,f,
búsqueda,NOUN,f,
cabrón,NOUN,m,
carga,NOUN,f,
clave,NOUN,f,
cola,NOUN,f,
cosa,NOUN,f,
embargo,NOUN,m,
entrega,NOUN,f,
exacto,NOUN,m,
fila,NOUN,f,
fin,NOUN,m,
fondo,NOUN,m,
fuente,NOUN,f,
grupo,NOUN,m,
guía,NOUN,f,
lado,NOUN,m,
línea,NOUN,f,
magia,NOUN,f,
mando,NOUN,m,
marcha,NOUN,f,
medio,NOUN,m,
monstruo,NOUN,m,
olor,NOUN,m,
paso,NOUN,m,
pieza,NOUN,f,
pista,NOUN,f,
posición,NOUN,f,
problema,NOUN,m,
proceso,NOUN,m,
punto,NOUN,m,
puta,NOUN,f,
regla,NOUN,f,
respecto,NOUN,m,
ruego,NOUN,m,
ruido,NOUN,m,
sección,NOUN,f,
ser,NOUN,m,
sesión,NOUN,f,
silencio,NOUN,m,
sistema,NOUN,m,
socorro,NOUN,m,
sonido,NOUN,m,
sujeto,NOUN,m,
tipo,NOUN,m,
tomo,NOUN,m,
tonta,NOUN,f,
tontería,NOUN,f,
tonto,NOUN,m,
toque,NOUN,m,
través,NOUN,m,
truco,NOUN,m,
uso,NOUN,m,
vistazo,NOUN,m,
vuelta,NOUN,f,
acordar,VERB,neutral,
admitir,VERB,neutral,
agradecer,VERB,neutral,
asegurar,VERB,neutral,
bromear,VERB,neutral,
callar,VERB,neutral,
contar,VERB,neutral,
decir,VERB,neutral,
demostrar,VERB,neutral,
disculpar,VERB,neutral,
discutir,VERB,neutral,
enviar,VERB,neutral,
escribir,VERB,neutral,
evidenciar,VERB,neutral,
explicar,VERB,neutral,
gritar,VERB,neutral,
hablar,VERB,neutral,
jurar,VERB,neutral,
llamar,VERB,neutral,
mentir,VERB,neutral,
mostrar,VERB,neutral,
pedir,VERB,neutral,
perdonar,VERB,neutral,
preguntar,VERB,neutral,
presentar,VERB,neutral,
prometer,VERB,neutral,
referir,VERB,neutral,
responder,VERB,neutral,
significar,VERB,neutral,
abandonar,VERB,neutral,
alejar,VERB,neutral,
andar,VERB,neutral,
bajar,VERB,neutral,
caer,VERB,neutral,
caminar,VERB,neutral,
conducir,VERB,neutral,
correr,VERB,neutral,
cruzar,VERB,neutral,
desaparecer,VERB,neutral,
entrar,VERB,neutral,
escapar,VERB,neutral,
huir,VERB,neutral,
ir,VERB,neutral,
largar,VERB,neutral,
llegar,VERB,neutral,
manejar,VERB,neutral,
nadar,VERB,neutral,
parar,VERB,neutral,
partir,VERB,neutral,
pasear,VERB,neutral,
regresar,VERB,neutral,
salir,VERB,neutral,
saltar,VERB,neutral,
seguir,VERB,neutral,
subir,VERB,neutral,
venir,VERB,neutral,
viajar,VERB,neutral,
visitar,VERB,neutral,
volar,VERB,neutral,
volver,VERB,neutral,
apestar,VERB,neutral,
escuchar,VERB,neutral,
mirar,VERB,neutral,
oler,VERB,neutral,
oír,VERB,neutral,
sonar,VERB,neutral,
tocar,VERB,neutral,
ver,VERB,neutral,
aceptar,VERB,neutral,
adivinar,VERB,neutral,
aprender,VERB,neutral,
averiguar,VERB,neutral,
buscar,VERB,neutral,
comprender,VERB,neutral,
conocer,VERB,neutral,
creer,VERB,neutral,
decidir,VERB,neutral,
descubrir,VERB,neutral,
diferenciar,VERB,neutral,
dudar,VERB,neutral,
elegir,VERB,neutral,
encontrar,VERB,neutral,
enseñar,VERB,neutral,
entender,VERB,neutral,
estudiar,VERB,neutral,
imaginar,VERB,neutral,
leer,VERB,neutral,
olvidar,VERB,neutral,
pensar,VERB,neutral,
preferir,VERB,neutral,
recordar,VERB,neutral,
resolver,VERB,neutral,
revisar,VERB,neutral,
saber,VERB,neutral,
suponer,VERB,neutral,
aguantar,VERB,neutral,
alegrar,VERB,neutral,
amar,VERB,neutral,
calmar,VERB,neutral,
confiar,VERB,neutral,
contentar,VERB,neutral,
desear,VERB,neutral,
encantar,VERB,neutral,
esperar,VERB,neutral,
gustar,VERB,neutral,
importar,VERB,neutral,
interesar,VERB,neutral,
llorar,VERB,neutral,
molestar,VERB,neutral,
odiar,VERB,neutral,
preocupar,VERB,neutral,
querer,VERB,neutral,
relajar,VERB,neutral,
respetar,VERB,neutral,
sentir,VERB,neutral,
soportar,VERB,neutral,
sorprender,VERB,neutral,
sufrir,VERB,neutral,
temer,VERB,neutral,
apostar,VERB,neutral,
comprar,VERB,neutral,
conseguir,VERB,neutral,
costar,VERB,neutral,
dar,VERB,neutral,
donar,VERB,neutral,
ganar,VERB,neutral,
mantener,VERB,neutral,
obtener,VERB,neutral,
pagar,VERB,neutral,
perder,VERB,neutral,
pertenecer,VERB,neutral,
recibir,VERB,neutral,
recompensar,VERB,neutral,
recuperar,VERB,neutral,
tener,VERB,neutral,
valer,VERB,neutral,
vender,VERB,neutral,
abrir,VERB,neutral,
atrapar,VERB,neutral,
